file,atom,Count
linux/drivers/scsi/qla2xxx/qla_iocb.c,operator-precedence,211
linux/drivers/s390/block/dasd_eckd.c,operator-precedence,211
linux/drivers/usb/core/hub.c,operator-precedence,211
linux/drivers/media/dvb-frontends/cxd2841er.c,operator-precedence,211
linux/drivers/firmware/broadcom/bcm47xx_sprom.c,omitted-curly-braces,211
linux/drivers/media/platform/coda/coda-common.c,operator-precedence,210
linux/drivers/lightnvm/pblk-core.c,operator-precedence,210
linux/drivers/gpu/drm/i915/intel_sdvo.c,omitted-curly-braces,210
linux/drivers/staging/rtl8723bs/hal/hal_com_phycfg.c,omitted-curly-braces,209
linux/drivers/media/dvb-frontends/dib8000.c,omitted-curly-braces,209
mysql-server/client/mysql.cc,omitted-curly-braces,209
linux/drivers/net/ethernet/stmicro/stmmac/stmmac_main.c,omitted-curly-braces,209
linux/drivers/scsi/isci/request.c,operator-precedence,208
linux/drivers/hwmon/dme1737.c,operator-precedence,208
linux/drivers/md/dm-raid.c,omitted-curly-braces,208
linux/drivers/clk/qcom/mmcc-msm8960.c,operator-precedence,207
linux/drivers/net/ethernet/chelsio/cxgb3/cxgb3_main.c,operator-precedence,207
linux/drivers/gpu/drm/amd/amdgpu/gfx_v8_0.c,omitted-curly-braces,207
linux/drivers/nvme/host/fc.c,operator-precedence,207
linux/drivers/gpu/drm/nouveau/nv50_display.c,omitted-curly-braces,206
mysql-server/storage/innobase/fil/fil0fil.cc,operator-precedence,206
linux/drivers/media/platform/exynos4-is/fimc-lite.c,operator-precedence,206
linux/drivers/net/ethernet/broadcom/bnx2x/bnx2x_main.c,conditional,206
linux/drivers/net/wireless/ath/ath6kl/cfg80211.c,omitted-curly-braces,206
linux/drivers/net/usb/r8152.c,omitted-curly-braces,206
linux/drivers/platform/x86/sony-laptop.c,omitted-curly-braces,206
linux/drivers/infiniband/hw/mlx4/main.c,operator-precedence,205
mysql-server/sql/item_sum.cc,omitted-curly-braces,205
linux/drivers/net/wireless/realtek/rtl818x/rtl8187/dev.c,operator-precedence,205
linux/drivers/scsi/qedi/qedi_fw.c,operator-precedence,205
linux/drivers/infiniband/hw/cxgb4/qp.c,operator-precedence,204
linux/drivers/infiniband/core/cm.c,omitted-curly-braces,204
linux/drivers/net/bonding/bond_main.c,omitted-curly-braces,204
linux/drivers/infiniband/hw/i40iw/i40iw_verbs.c,operator-precedence,204
linux/drivers/net/wireless/intel/iwlwifi/dvm/rs.c,omitted-curly-braces,204
linux/drivers/net/ethernet/qlogic/qed/qed_sriov.c,omitted-curly-braces,204
linux/drivers/staging/rtl8723bs/core/rtw_mlme_ext.c,omitted-curly-braces,204
linux/drivers/usb/gadget/udc/mv_u3d_core.c,operator-precedence,204
linux/drivers/net/ethernet/micrel/ksz884x.c,omitted-curly-braces,204
linux/drivers/block/floppy.c,omitted-curly-braces,204
linux/drivers/net/ethernet/qlogic/qed/qed_debug.c,omitted-curly-braces,203
